,technology,carrier,node,time_operation,value_scenario_,value_scenario_DemandMet,value_scenario_FastDiffusion,value_scenario_Recycling,value_scenario_SelfSuff40,value_scenario_Tariffs
0,Aluminium_production,Aluminium,AUS,0,60.0,60.0,60.0,60.0,60.0,60.0
1,Aluminium_production,Aluminium,AUS,1,60.0,60.0,60.0,60.0,60.0,60.0
2,Aluminium_production,Aluminium,AUS,2,60.0,60.0,60.0,60.0,60.0,60.0
3,Aluminium_production,Aluminium,AUS,3,60.0,60.0,60.0,60.0,60.0,60.0
4,Aluminium_production,Aluminium,AUS,4,60.0,60.0,60.0,60.0,60.0,60.0
5,Aluminium_production,Aluminium,AUS,5,60.0,60.0,60.0,60.0,60.0,60.0
6,Aluminium_production,Aluminium,AUS,6,60.0,60.0,60.0,60.0,60.0,60.0
7,Aluminium_production,Aluminium,AUS,7,60.0,60.0,60.0,60.0,60.0,60.0
8,Aluminium_production,Aluminium,AUS,8,60.0,60.0,60.0,60.0,60.0,60.0
9,Aluminium_production,Aluminium,AUS,9,60.0,60.0,60.0,60.0,60.0,60.0
10,Aluminium_production,Aluminium,AUS,10,60.0,60.0,60.0,60.0,60.0,60.0
11,Aluminium_production,Aluminium,AUS,11,60.0,60.0,60.0,60.0,60.0,60.0
12,Aluminium_production,Aluminium,AUS,12,60.0,60.0,60.0,60.0,60.0,60.0
13,Aluminium_production,Aluminium,AUS,13,60.0,60.0,60.0,60.0,60.0,60.0
14,Aluminium_production,Aluminium,AUT,0,19.64,19.64,19.64,19.64,19.64,19.64
15,Aluminium_production,Aluminium,AUT,1,19.64,19.64,19.64,19.64,19.64,19.64
16,Aluminium_production,Aluminium,AUT,2,19.64,19.64,19.64,19.64,19.64,19.64
17,Aluminium_production,Aluminium,AUT,3,19.64,19.64,19.64,19.64,19.64,19.64
18,Aluminium_production,Aluminium,AUT,4,19.64,19.64,19.64,19.64,19.64,19.64
19,Aluminium_production,Aluminium,AUT,5,19.64,19.64,19.64,19.64,19.64,19.64
20,Aluminium_production,Aluminium,AUT,6,19.64,19.64,19.64,19.64,19.64,19.64
21,Aluminium_production,Aluminium,AUT,7,19.64,19.64,19.64,19.64,19.64,19.64
22,Aluminium_production,Aluminium,AUT,8,19.64,19.64,19.64,19.64,19.64,19.64
23,Aluminium_production,Aluminium,AUT,9,19.64,19.64,19.64,19.64,19.64,19.64
24,Aluminium_production,Aluminium,AUT,10,19.64,19.64,19.64,19.64,19.64,19.64
25,Aluminium_production,Aluminium,AUT,11,19.64,19.64,19.64,19.64,19.64,19.64
26,Aluminium_production,Aluminium,AUT,12,19.64,19.64,19.64,19.64,19.64,19.64
27,Aluminium_production,Aluminium,AUT,13,19.64,19.64,19.64,19.64,19.64,19.64
28,Aluminium_production,Aluminium,BRA,0,32.44,32.44,32.44,32.44,32.44,32.44
29,Aluminium_production,Aluminium,BRA,1,32.44,32.44,32.44,32.44,32.44,32.44
30,Aluminium_production,Aluminium,BRA,2,32.44,32.44,32.44,32.44,32.44,32.44
31,Aluminium_production,Aluminium,BRA,3,32.44,32.44,32.44,32.44,32.44,32.44
32,Aluminium_production,Aluminium,BRA,4,32.44,32.44,32.44,32.44,32.44,32.44
33,Aluminium_production,Aluminium,BRA,5,32.44,32.44,32.44,32.44,32.44,32.44
34,Aluminium_production,Aluminium,BRA,6,32.44,32.44,32.44,32.44,32.44,32.44
35,Aluminium_production,Aluminium,BRA,7,32.44,32.44,32.44,32.44,32.44,32.44
36,Aluminium_production,Aluminium,BRA,8,32.44,32.44,32.44,32.44,32.44,32.44
37,Aluminium_production,Aluminium,BRA,9,32.44,32.44,32.44,32.44,32.44,32.44
38,Aluminium_production,Aluminium,BRA,10,32.44,32.44,32.44,32.44,32.44,32.44
39,Aluminium_production,Aluminium,BRA,11,32.44,32.44,32.44,32.44,32.44,32.44
40,Aluminium_production,Aluminium,BRA,12,32.44,32.44,32.44,32.44,32.44,32.44
41,Aluminium_production,Aluminium,BRA,13,32.44,32.44,32.44,32.44,32.44,32.44
42,Aluminium_production,Aluminium,CHN,0,276.36,276.36,276.36,276.36,276.36,276.36
43,Aluminium_production,Aluminium,CHN,1,313.57470644,313.57470644,313.57470644,313.57470644,313.57470644,313.57470644
44,Aluminium_production,Aluminium,CHN,2,355.04206636000004,355.04206636000004,355.04206636000004,355.04206636000004,355.04206636,355.04206636000004
45,Aluminium_production,Aluminium,CHN,3,401.35088552,401.35088552,401.35088552,401.35088552,401.35088552,401.35088551999996
46,Aluminium_production,Aluminium,CHN,4,453.18010612,453.18010612,453.18010612,453.18010612,453.18010611999995,453.18010612
47,Aluminium_production,Aluminium,CHN,5,511.31338716,511.31338716,511.31338716,511.31338716,511.31338716,511.31338716000005
48,Aluminium_production,Aluminium,CHN,6,576.65601992,576.65601992,576.65601992,576.65601992,576.65601992,576.65601992
